route_id,direction_id,time_period,speed_mph,district_name,Shape_Length
2031,1,all_day,29.85859323,1,39651.9731372819
2037,0,offpeak,13.54901178,6,10589.4186050454
2037,0,peak,13.64667906,6,10589.4186050454
2037,0,all_day,13.60051926,6,10589.4186050454
2037,1,offpeak,13.04507263,6,10840.7499906296
2037,1,peak,12.95957508,6,10840.7499906296
2037,1,all_day,12.99810999,6,10840.7499906296
1692,0,offpeak,10.20400857,7,25196.1675080232
1692,0,peak,10.93588331,7,25196.1675080232
1692,0,all_day,10.61608642,7,25196.1675080232
20,0,offpeak,15.05019474,6,48154.4683616859
20,0,peak,15.21034855,6,48154.4683616859
20,0,all_day,15.14907385,6,48154.4683616859
14213,0,offpeak,15.0287495,3,16971.6040276612
14213,0,peak,15.87642294,3,16971.6040276612
14213,0,all_day,15.33556033,3,16971.6040276612
14213,1,offpeak,17.97361524,3,11094.0580312387
14213,1,peak,16.98675361,3,11094.0580312387
14213,1,all_day,17.63216281,3,11094.0580312387
580,0,offpeak,25.88311316,4,26995.8476258695
580,0,peak,21.8844591,4,26995.8476258695
580,0,all_day,23.67186726,4,26995.8476258695
580,1,offpeak,23.26079135,4,27685.1323486971
580,1,peak,19.17123612,4,27685.1323486971
580,1,all_day,21.12730754,4,27685.1323486971
CC,0,offpeak,43.66590987,4,183059.65581619
CC,0,peak,47.29167936,4,183059.65581619
CC,0,all_day,45.40652904,4,183059.65581619
CC,1,offpeak,43.60722726,4,183020.709269902
CC,1,peak,45.3203979,4,183020.709269902
CC,1,all_day,44.2784564,4,183020.709269902
a9d05859-3640-4d5f-aef5-895caea21d26,0,offpeak,29.00236822,3,48561.3789579135
a9d05859-3640-4d5f-aef5-895caea21d26,0,all_day,29.00236822,3,48561.3789579135
2,0,offpeak,15.91790148,6,12550.0515741795
2,0,peak,16.60742226,6,12550.0515741795
2,0,all_day,16.29681124,6,12550.0515741795
14212,0,offpeak,32.51659804,3,57374.5081383874
14212,0,all_day,32.51659804,3,57374.5081383874
161,0,offpeak,40.86054477,2,117522.946886076
161,0,peak,48.19078656,2,117522.946886076
161,0,all_day,43.04294823,2,117522.946886076
161,1,offpeak,43.84286956,2,116140.066017268
161,1,all_day,43.84286956,2,116140.066017268
378,0,offpeak,18.42284367,8,19742.5185592614
378,0,peak,21.66062378,8,19742.5185592614
378,0,all_day,20.12996752,8,19742.5185592614
4,0,offpeak,14.25761696,4,22819.4360297713
4,0,peak,15.14074432,4,22819.4360297713
4,0,all_day,14.74950169,4,22819.4360297713
4769,1,offpeak,19.99064794,6,15798.9954361636
4769,1,peak,20.65327951,6,15798.9954361636
4769,1,all_day,20.31656217,6,15798.9954361636
